Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
74,203,6,29,Al Montoya,FLA,2014,0,0,13,20,6,7,2,453,404,3.009,0.892,0,2,0,40,334,0.893,3.069,782,7,3,0,0.538,0.899,0.089,2.923,-2.47,89.64,92.08,-2.44,76.06,-8.71
72,190,112,27,Alex Stalock,SJS,2014,0,0,19,22,8,9,2,553,499,2.62,0.902,0,2,2,49,477,0.907,2.559,1149,10,1,0,0.526,0.919,0.087,2.368,-4.82,90.93,91.27,-0.35,74.51,-1.56
75,207,19,20,Andrei Vasilevskiy,TBL,2014,1,0,13,16,7,5,1,415,381,2.361,0.918,0,0,1,33,345,0.913,2.555,775,7,1,0,0.538,0.925,0.085,3.077,5.66,92.75,92.52,0.23,90.2,0.75
73,216,0,26,Andrew Hammond,OTT,2014,1,0,23,24,20,1,2,707,665,1.786,0.941,1,0,3,40,662,0.943,1.725,1391,18,1,1,0.783,0.943,0.084,3.13,7.18,94.06,92.9,1.17,84,6.49
71,203,206,28,Anton Khudobin,CAR,2014,0,0,32,34,8,17,6,874,787,2.718,0.9,0,0,1,86,776,0.9,2.745,1880,16,9,1,0.5,0.916,0.087,1.938,-10.97,90.31,91.47,-1.15,75.43,-8.1
74,210,0,31,Antti Niemi,SJS,2014,0,1,61,61,31,23,7,1811,1656,2.592,0.914,3,0,5,155,1656,0.914,2.592,3588,32,9,3,0.525,0.922,0.085,2.951,-8.17,92.08,92.35,-0.27,77.02,-3.73
72,193,0,25,Antti Raanta,CHI,2014,1,0,12,14,7,4,1,389,364,1.894,0.936,0,0,2,22,339,0.939,1.828,722,8,1,0,0.667,0.939,0.083,3.083,7.85,93.89,92.38,1.51,86.76,4.69
79,209,85,28,Ben Bishop,TBL,2014,1,1,60,62,40,13,5,1620,1484,2.319,0.916,4,4,4,130,1464,0.918,2.267,3440,37,8,5,0.617,0.925,0.084,3.333,-2.01,92.06,92.8,-0.75,73.33,-8.64
74,181,0,28,Ben Scrivens,EDM,2014,0,1,53,57,15,26,11,1542,1372,3.16,0.89,1,4,1,166,1315,0.888,3.257,3058,21,13,4,0.396,0.899,0.086,2.453,-11.16,89.91,92.13,-2.21,73.25,-27.88
74,209,291,29,Brian Elliott,STL,2014,1,1,45,46,26,14,3,1150,1054,2.263,0.917,3,0,5,95,1049,0.917,2.245,2539,26,8,5,0.578,0.919,0.087,3.022,-5.55,92.58,92.98,-0.4,81.33,-3.59
